"Boyd, Diane",,"Khasseneyeva, A.",,,,,,,,,
"Boyd, Mary Clarke","Leshem, Dan","Khoo, Y.",,,,,,,,,
"Boylan, Mike","Laranjeira, D.A. ","Kielak, E.",,,,,,,,,
"Boylan, Mark","Da Re, Franca","Kim, Jiyoung ",,,,,,,,,
"Bozec, Géraldine","Damiani, Valeria","Kim, Yeji",,,,,,,,,
"Bracken, Meliosa",,"King, R. P.",,,,,,,,,
"Braga, Beatriz Sardinha","Davids, Nuraan","Kitami, Y.",,,,,,,,,
"Bran, Ramona Alice","Davies, Ian et al.","Kiwan, Dina",,,,,,,,,
"Bravo, Jorge Pavez","Davies, Ian","Knipprath, H.",,,,,,,,,
"Bravo, Paula Angélica Riquelme","Davies, J.","Knoll, A.",,,,,,,,,
"Breidlid, Anders","Dañobeitia, O. et al.","Koyama, J.",,,,,,,,,
"Brendel, Nina","De Alba-Fernandes, N.","Kubo, H.",,,,,,,,,
"Bretag, Tracey","De Azevedo, Gilson Xavier","Kudarewska, A.",,,,,,,,,
"Bretón, Vicor Solo de Zaldívar","De Jong, Sara","Kukita, S. M.",,,,,,,,,
"Brissett, Nigel O. M.","De Melo, A. (et. al)","Kunda Marron, R.",,,,,,,,,
"Broadfoot, Harriet","De Menezes, Ana Luisa Teixeira","Lam, S.",,,,,,,,,
"Brock, Antje","De Pinho, A. M. M.","Lamachia, J.",,,,,,,,,
"Bromley, Patricia","De Schepper, A.","Lambrechts, Wim",,,,,,,,,
"Bronshtein, Yifat","De Smet, Brecht","Langthaler, M.",,,,,,,,,
"Brooks, Catherine F.","De Tienda Palop, Lydia","Laso Salvador, S.",,,,,,,,,
"Broom, Catherine","De Wolf, M.",,,,,,,,,,
"Brown, Eleanor Joanne","De la Rosa, C. (coord.)","Lawson, H.",,,,,,,,,
,"DePalma, Renée","Le Pichon-Vorstman, E.",,,,,,,,,
,"Deeley, S.","Le, Kelley Tuong-Vy",,,,,,,,,
,"Delgado, Sandra","Leahy, D. L.",,,,,,,,,
,,"Leddy, S.",,,,,,,,,
"Brown, John Matthias","Demirci, Ali","Leon Fernandez, Y. M.",,,,,,,,,
"Brown, Kate","Deutschman, Megan C.","Lepratti, Massimiliano",,,,,,,,,
"Bruce, Judy","Di Caudo, M. V.","Leusink, E.",,,,,,,,,
,"Dias, Alfredo Gomes","Lewis, M.",,,,,,,,,
"Bryan, Audrey","Dickel, Mirka",,,,,,,,,,
"Brzozowski, Tomasz Tadeusz","Dieste, Belén María","Lima Pedrini, J.",,,,,,,,,
"Buchanan, John H.","Dinh, L. T. B.","Lindenburg, A.C.",,,,,,,,,
,"Dios, I.","Lippert, A. A.",,,,,,,,,
"Buchcic, E.","Djimrassem, N.","Little, S.",,,,,,,,,
"Buckbesch, Mirja","Dockrill, H."," Liu, Ou Lydia",,,,,,,,,
"Budiarti, Marini","Domínguez Fernández, Guillermo","Oliveira, Ana ",,,,,,,,,
"Budke, A.",,"Lopes, J.",,,,,,,,,
"Bueno, William Bermudez","Donadel, T. Z.","Love, D. H.",,,,,,,,,
"Bugallo-Rodríguez, Ánxela","Donnelly, D.","Loy, L. S.",,,,,,,,,
"Bullivant, Andrea",,"López-Fogués, A.",,,,,,,,,
"Bullock, Kate","Dorio, Jason Nunzio","López, P.",,,,,,,,,
"Bunnell, Tristan","dos Santos, Kátia Maria","López, a.",,,,,,,,,
"Burch, William J.",,"Maalouf, P.",,,,,,,,,
"Burgos Ayala, A.","Downey, Greg","MacCallum,Cathryn S.",,,,,,,,,
"Burgos Sánchez, M.","Drinkwater, M.","Madeira, E.",,,,,,,,,
"Burridge, Nina","Driscoll, P.","Manning, M.",,,,,,,,,
"Busch, M. Pilar Alvarez-Santullano","Drosik, A.","Marcette, F.",,,,,,,,,
"Buslon, Nataly","Dryżałowska, G.","Margiotta, R.",,,,,,,,,
,"Duarte, G.","Marilyn, P.",,,,,,,,,
"Butcher, Jim","Duce, C.","Maroun, C.",,,,,,,,,
